team,main,id,title,author,journal,number,cites,year,cid,pubid
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Dynamics of child development: Analysis of a longitudinal cohort in a very low income country,"E Galasso, A Weber, LCH Fernald",The World Bank Economic Review,"33 (1), 140-159",25,2019,17218939125800118903,pyW8ca7W8N0C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Effects of nutritional supplementation and home visiting on growth and development in young children in Madagascar: a cluster-randomised controlled trial,"E Galasso, AM Weber, CP Stewart, L Ratsifandrihamanana, LCH Fernald",The Lancet Global Health,"7 (9), e1257-e1268",24,2019,7391253143976625361,eflP2zaiRacC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"A cluster-randomized, controlled trial of nutritional supplementation and promotion of responsive parenting in Madagascar: the MAHAY study design and rationale","LCH Fernald, E Galasso, J Qamruddin, C Ranaivoson, ...",BMC Public Health,"16 (1), 1-14",23,2016,3757904248894456739,zA6iFVUQeVQC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Alleviating extreme poverty in Chile,E Galasso,Estudios de Economía,38 (1),22,2006,16011169831865561182,geHnlv5EZngC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"Parental Beliefs, Investments, and Child Development: Evidence from a Large-Scale Experiment","PM Carneiro, E Galasso, IX Lopez Garcia, P Bedregal, M Cordero",World Bank Policy Research Working Paper,,20,2019,16836626279530316012,VOx2b1Wkg3QC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Local Knowledge vs. Local Accountability? Decentralized Targeting of an Anti Poverty Program,"E Galasso, M Ravallion",Development Research Group. Paper Presented at the Annual World Bank …,,16,2001,16260060001746390905,8AbLer7MMksC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Performance of a receptive language test among young children in Madagascar,"AM Weber, LCH Fernald, E Galasso, L Ratsifandrihamanana",PloS one,"10 (4), e0121767",13,2015,9570261020695570836,O3NaXMp0MMsC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Protección social en la crisis: el Plan Jefas y Jefes de Hogar de Argentina,"E Galasso, M Ravallion","Grupo de Investigación sobre Desarrollo, Banco Mundial, Washington",,12,2003,10810475852158923786,ufrVoPGSRksC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"Shared prosperity: concepts, data, and some policy examples","FHG Ferreira, E Galasso, M Negre",The World Bank,,11,2018,"18283951542772437600,5500669912876796167",WbkHhVStYXYC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Learning through Monitoring: Lessons from a Large Scale Nutrition Program in Madagascar,"E Galasso, J Yau",World Bank Publications,,10,2006,3812242381084673351,WF5omc3nYNoC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Perils of scaling up: Effects of expanding a nutrition programme in Madagascar,"AM Weber, E Galasso, LCH Fernald",Maternal & child nutrition,"15, e12715",8,2019,8605848842717058753,LPZeul_q3PIC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Jump-starting self-employment?,"R Almeida, E Galasso","World bank, Development research group, Macroeconomics a. growth team",,8,2007,16633652026024700318,rO6llkc54NcC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Social Protection in a Crisis: Argentina's Plan Jefes y Jefas,"M Ravallion, E Galasso",Available at SSRN,636584,8,2003,1892958251592870603,mvPsJ3kp5DgC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Small-quantity lipid-based nutrient supplements for children age 6-24 months: a systematic review and individual participant data meta-analysis of effects on developmental …,"EL Prado, CD Arnold, KR Wessells, CP Stewart, S Abbeddou, ...",medRxiv,,7,2021,17975162615312599690,dTyEYWd-f8wC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Characteristics that modify the effect of small-quantity lipid-based nutrient supplementation on child growth: an individual participant data meta-analysis of randomized …,"KG Dewey, KR Wessells, CD Arnold, EL Prado, S Abbeddou, ...",MedRxiv,,7,2021,5142607738339869877,PELIpwtuRlgC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Overcoming barriers to the take-up of social subsidies,"M Amior, P Carneiro, E Galasso, R Ginja",World Bank Conference Paper,,7,2012,5165373996882006309,IWHjjKOFINEC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Characteristics that modify the effect of small-quantity lipid-based nutrient supplementation on child anemia and micronutrient status: an individual participant data meta …,"KR Wessells, CD Arnold, CP Stewart, EL Prado, S Abbeddou, ...",medRxiv,,5,2021,5481600498373936969,JoZmwDi-zQgC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Nutritional Gains from Extended Exposure to a Large-scale Nutrition Programme,"E Galasso, N Umapathi, J Yau",Journal of African Economies,"20 (5), 673-703",5,2011,9090342094246644229,hqOjcs7Dif8C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Lipid-based nutrient supplementation reduces child anemia and increases micronutrient status in Madagascar: a multiarm cluster-randomized controlled trial,"CP Stewart, LCH Fernald, AM Weber, C Arnold, E Galasso",The Journal of nutrition,"150 (4), 958-966",4,2020,7232350065579207002,1qzjygNMrQYC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Spillovers in Social Program Participation: Evidence from Chile,"P Carneiro, B Flores, E Galasso, R Ginja, A de Paula",unpublished manuscript,,4,2016,18078611309188651900,CHSYGLWDkRkC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Aliviando la extrema pobreza en Chile: efectos a corto plazo de Chile Solidario,E Galasso,Estudios de economía,"38 (1), 101-127",4,2011,7670083936651027905,4DMP91E08xMC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,La evaluacion de impacto y el ciclo de proyecto,"T Bedi, S Bhatti, X Gine, E Galasso, M Goldstein, A Legovini",The World Bank,,4,2006,13172346396838516755,HE397vMXCloC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Caregiver perceptions of child development in rural Madagascar: a cross-sectional study,"EO Chung, LCH Fernald, E Galasso, L Ratsifandrihamanana, AM Weber",BMC public health,"19 (1), 1-12",3,2019,2557929434903943341,BrmTIyaxlBUC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Assisting the Transition from Workfare to Work: A randomized experiment in Argentina,"E Galasso, M Ravallion, A Salvia",World Bank Policy Research Working Paper,2738,3,2001,10657237319536231789,B3FOqHPlNUQC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Assisting the Transition form Workfare to Work: A Randomized Experiment,"E Galasso, A Salvia",Policy Research Working Paper,2738,3,2001,"5773166860460489051,13306438373137139365",4fKUyHm3Qg0C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"Parental Beliefs, Investments, and Child Development","P Carneiro, E Galasso, I Lopez Garcia, P Bedregal, M Cordero","World Bank, Washington, DC",,2,2019,12318473943316124865,V3AGJWp-ZtQC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Dynamics of Child Development,"E Galasso, A Weber, LCH Fernald","World Bank, Washington, DC",,2,2017,11990727214424452134,_B80troHkn4C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Interlinking Nutrition and Workfare during the First 1000 Days: A New Social Safety Net in Djibouti.,"S Brodmann, F Devoto, E Galasso",Society for Research on Educational Effectiveness,,2,2015,841893008569615255,3s1wT3WcHBgC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Social Protection in a crisis,"E Galasso, M Ravallion",World Bank Economic Review,,2,2012,8070416059160764679,Y5dfb0dijaUC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Assessing social protection to the poor: evidence from Argentina,E Galasso,"Development Research Group, World Bank",,2,2008,15599300639541296300,Se3iqnhoufwC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Impact evaluation and the project cycle,"T Bedi, S Bhatti, X Gine, E Galasso, M Goldstein, A Legovini",The World Bank,,2,2006,5642459248544438814,t6usbXjVLHcC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Can targeted assistance help the very poor?,"A Marcus, PM Amaro Da Costa Luz Carneiro, E Galasso, R Ginja",The World Bank,,1,2011,4453058820421568226,wbdj-CoPYUoC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Essays on the welfare of children in developing countries,E Galasso,Boston College,,1,2000,6087745021506596646,qxL8FJ1GzNcC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,What May Be Learned from Project Monitoring Data?,E Galasso,Being Being? g,13,1,NA,1686760808400269710,Mojj43d5GZwC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"Integrating Early Stimulation and Play at Scale: Study Protocol for “MAHAY Mikolo”, a Multi-arm Cluster-randomized Controlled Trial","E Galasso, L Ratsifandrihamanana, AM Weber, C Hemlock, M Col, ...",,,0,2021,NA,9vf0nzSNQJEC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,The Heterogeneous Quality in Delivery of Welfare: Evidence from Social Workers in the Chile Solidario Program,"P Carneiro, E Galasso, R Ginja, L Kraftman",,,0,2019,NA,eq2jaN3J8jMC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,WHAT'S THE LATEST EVIDENCE ON PUBLIC WORKS IN LOW AND MIDDLE-INCOME COUNTRIES?,"E Galasso, J Course",,,0,2019,NA,J-pR_7NvFogC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"Parental Beliefs, Investments, and Child Development: Evidence from a Large-Scale Experiment","PM Amaro Da Costa Luz Carneiro, E Galasso, IX Lopez Garcia, ...",The World Bank,,0,2019,NA,5Ul4iDaHHb8C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"Dynamics of Child Development: Analysis of a Longitudinal Cohort in a Very Low Income Country (vol 33, pg 140, 2019)",E Galasso,WORLD BANK ECONOMIC REVIEW,"33 (1), 286-286",0,2019,NA,eJXPG6dFmWUC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Caregiver Perceptions of Child Development,"EO Chung, LCH Fernald, E Galasso, L Ratsifandrihamanana, A Weber","World Bank, Washington, DC",,0,2019,NA,q3oQSFYPqjQC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,The role of parental beliefs and attitudes in parental investments and child development: Evidence from a parenting intervention in Chile,"P Bedregal, P Carneiro, M Cordero, E Galasso, I López-García",,,0,2016,NA,u9iWguZQMMsC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,DP9950 Tackling Social Exclusion: Evidence from Chile,"P Carneiro, E Galasso, R Ginja",,,0,2014,NA,blknAaTinKkC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Argentina-Assisting the transition from workfare to work: a randomized experiment,"E Galasso, M Ravallion, A Salvia",The World Bank,,0,2013,NA,WA5NYHcadZ8C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,Se puede ayudar a los mas pobres por medio de asistencia focalizada?,"A Marcus, PM Amaro Da Costa Luz Carneiro, E Galasso, R Ginja",The World Bank,,0,2011,NA,XiVPGOgt02cC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"Improving nutritional status through behavioural change: lessons from Madagascar (vol 1, pg 60, 2009)","E Galasso, N Umapathi",JOURNAL OF DEVELOPMENT EFFECTIVENESS,"1 (4), 529-530",0,2009,NA,08ZZubdj9fEC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,What May Be Learned from Project Monitoring Data? Lessons from a Nutrition Program,E Galasso,Are You Being Served?: New Tools for Measuring Service Delivery,131,0,2008,NA,SdhP9T11ey4C
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,"The World Bank. We are grateful to Hanneke Honer for help with the preparation of the data, and to Tim","MC Araujo, FHG Ferreira, P Lanjouw, B Özler, J Das, C Elbers, D Filmer, ...",,,0,2006,NA,tkaPQYYpVKoC
Poverty and Inequality,Emanuela Galasso,9Ls3xSAAAAAJ,The World Bank economic review 18 (3),"G Harrison, TF Rutherford, DG Tarr, A Gurgel, N Pavcnik, A Blom, ...",The World Bank economic review,"18 (38878), 1-188",0,2004,NA,bnK-pcrLprsC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Measuring the effect of a community-level program on women's empowerment outcomes: evidence from India,"E Kandpal, K Baylis, M Arends-Kuenning",World Bank Policy Research Working Paper,,65,2013,"17046368143240614225,11953367212584822266,5719178802857010544",W7OEmFMy1HYC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Beyond average treatment effects: distribution of child nutrition outcomes and program placement in India’s ICDS,E Kandpal,World Development,"39 (8), 1410-1421",58,2011,"7248619122665080632,22492801251290516",2osOgNQ5qMEC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,"Cash Transfers, Food Prices, and Nutrition Impacts on Ineligible Children","D Filmer, J Friedman, E Kandpal, J Onishi",The Review of Economics and Statistics,1-45,43,2021,"2550091617204784751,1071561793139238589,4790133980660557276,4919229434471542611,4145307479966024864",TFP_iSt0sucC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,A conditional cash transfer program in the Philippines reduces severe stunting,"E Kandpal, H Alderman, J Friedman, D Filmer, J Onishi, J Avalos",The Journal of nutrition,"146 (9), 1793-1800",33,2016,10571051710229665936,_kc_bZDykSQC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Strengthening malaria service delivery through supportive supervision and community mobilization in an endemic Indian setting: an evaluation of nested delivery models,"A Das, J Friedman, E Kandpal, GNV Ramana, RKD Gupta, MM Pradhan, ...",Malaria Journal,"13, 482",33,2014,5026969978391014758,roLk4NBRz8UC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Persistent Child Malnutrition in India: Evidence from the National Family Health Survey (2005-06),"E Kandpal, PE McNamara",Economic and Political weekly,"6 (2), 34-43",30,2008,"12105277700294862175,11284249985205713895",UebtZRa9Y70C
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,The Social Lives of Married Women: Peer Effects in Female Autonomy and Investments in Children,"E Kandpal, K Baylis",Journal of Development Economics,"140 (C), 26-43",25,2019,"3942858410438319335,1566786482103671194,17498197279217280484,15772175284536389129,17274004844476994167,18407522250579214384,11684004587988686459",L8Ckcad2t8MC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Child schooling and child work in the presence of a partial education subsidy,"J de Hoop, J Friedman, E Kandpal, F Rosati",Journal of Human Resources,,25,2017,"13821310325530458404,9584091771984206608",M3ejUd6NZC8C
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Expanding Horizons: Can Women’s Support Groups Diversify Peer Networks in Rural India?,"E Kandpal, K Baylis",American Journal of Agricultural Economics,"95 (2), 360-367",19,2013,689735708352384567,qjMakFHDy7sC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Safety nets and natural disaster mitigation: evidence from cyclone Phailin in Odisha,"P Christian, E Kandpal, N Palaniswamy, V Rao",Climatic Change,"153 (1), 141-164",16,2019,"15078721998554019465,16434997771873286937",4DMP91E08xMC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Completed impact evaluations and emerging lessons from the Health Results Innovation Trust Fund learning portfolio,E Kandpal,"Washington, DC: The World Bank",,16,2016,2137927233345217589,QIV2ME_5wuYC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Does involvement of local NGOs enhance public service delivery? Cautionary evidence from a malaria‐prevention program in India,"A Das, J Friedman, E Kandpal",Health economics,"27 (1), 172-188",12,2018,"12135931898735671881,6038234017277709343,14347392859511546646",4TOpqqG69KYC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Decentralized facility financing versus performance-based payments in primary health care: a large-scale randomized controlled trial in Nigeria,"M Khanna, B Loevinsohn, E Pradhan, G Fristche, O Fadeyibi, K McGee, ...",BMC Medicine,19 (224),8,2020,"7987424827614093054,3655983028360905255",hFOr9nPyWt4C
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Disruptions in Essential Health Services During the First Five Months of COVID-19: Analysis of Facility-Reported Service Volumes in Eight Sub-Saharan African Countries,"G Shapira, T Ahmed, SHP Drouard, PA Fernandez, E Kandpal, C Nzelu, ...",Health Policy and Planning,,7,2021,"15464878659615438060,6970455138802636931",iH-uZ7U-co4C
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,"Inequality in the Quality of Health Services: Wealth, Content of Care, and Price of Antenatal Consultations in the Democratic Republic of Congo","G Fink, E Kandpal, G Shapira",Economic Development and Cultural Change,,3,2019,"8159747003494965928,12526714208393154126",7PzlFSSx8tAC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Evaluating Pantawid Pamilya Using Regression Discontinuity Design: Key Results and Lessons,"J Onishi, DP Filmer, J Friedman, E Kandpal, J Avalos, N Chaudhury",The World Bank,,1,2014,918118693166141157,TQgYirikUcIC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,"Information, Loss Framing, and Spillovers in Pay-for-Performance Contracts","S Bauhoff, E Kandpal","World Bank, Washington, DC",,0,2021,NA,isC4tDSrTZIC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Improving Health Care Quality of Care through Financial Incentives or Supportive Feedback? Results from a Randomized Evaluation Among Maternity Hospitals in Kyrgyzstan,"J Friedman, E Kandpal, H Nguyen, A Askerov, G Fristche, M Shimarova, ...",,2019 World Congress on Health Economics,0,2019,NA,qUcmZB5y_30C
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,Does Provider Effort Constrain Healthcare Quality?: Evidence from Antenatal Care Visits in the Democratic Republic of Congo and Nigeria,"E Kandpal, J Walldorf, G Shapira",,,0,2019,NA,mB3voiENLucC
Poverty and Inequality,Eeshani Kandpal,hjunLdkAAAAJ,The determinants of program effectiveness: evidence from a conditional cash transfer program,"J Friedman, E Kandpal, M Triyana, A Posarac",,,0,NA,NA,qxL8FJ1GzNcC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Community-based and-driven development: A critical review,"G Mansuri, V Rao",The World Bank Research Observer,"19 (1), 1-39",2066,2004,"11595219272131356210,7352773685506764211",u5HHmVD_uO8C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Localizing development: Does participation work?,"G Mansuri, V Rao",World Bank Publications,,1276,2012,"7183758740206929735,13299843627458764455",fEOibwPWpKIC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Culture and public action,V Rao,Stanford University Press,,641,2004,"17776785185157162246,16299834288313799759",aXwx4OqTWR4C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Terror as a bargaining instrument: A case study of dowry violence in rural India,"F Bloch, V Rao",American Economic Review,"92 (4), 1029-1043",637,2002,"15434397053675705154,698977871198501161,9606689806976293477",vRqMK49ujn8C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,World Development Report 2006: equity and development,World Bank,The World Bank,,590,2005,"10466991770774459264,1922031687053447544",SQZOXlr1FBsC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Wife-beating in rural South India: A qualitative and econometric analysis,V Rao,Social science & medicine,"44 (8), 1169-1180",528,1997,"15975907690037144774,15187522794820607664",9yKSN-GCB0IC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,The rising price of husbands: A hedonic analysis of dowry increases in rural India,V Rao,Journal of political Economy,"101 (4), 666-677",485,1993,"17650085967749758213,6167216991350495264",d1gkVwhDpl0C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,The politics of public good provision: Evidence from Indian local governments,"T Besley, R Pande, L Rahman, V Rao",Journal of the European Economic Association,"2 (2-3), 416-426",422,2004,12610945874005358175,qjMakFHDy7sC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Just rewards? Local politics and public resource allocation in South India,"T Besley, R Pande, V Rao",The World Bank Economic Review,"26 (2), 191-216",400,2012,"2260073477318760725,5099086369880913740,10928923814400897835,5193991868612251265,8478137552405261489,13202798926591873209",5s9rAH04UEoC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,The determinants of gender equity in India: examining Dyson and Moore's thesis with new data,"L Rahman, V Rao",Population and Development Review,"30 (2), 239-268",330,2004,8921438516510301025,zYLM7Y9cAGgC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,"Celebrations as social investments: Festival expenditures, unit price variation and social status in rural India",V Rao,Journal of Development Studies,"38 (1), 71-97",299,2001,83726233080765987,W7OEmFMy1HYC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Sex workers and the cost of safe sex: the compensating differential for condom use among Calcutta prostitutes,"V Rao, I Gupta, M Lokshin, S Jana",Journal of Development Economics,"71 (2), 585-603",280,2003,"16059152631894647499,12507764831902234707,17530960774657208583,17958460280852883892",UeHWp8X0CEIC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Wedding celebrations as conspicuous consumption signaling social status in rural India,"F Bloch, V Rao, S Desai",Journal of Human Resources,"39 (3), 675-695",270,2004,4702793731460408174,LkGwnXOMwfcC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,"The social impact of social funds in Jamaica: A ‘participatory econometric’analysis of targeting, collective action, and participation in community-driven development","V Rao, AM Ibanez",Journal of Development Studies,"41 (5), 788-838",262,2005,"10921938809888883431,16072619736581789824,7867508583142963399,8675481147106289904",ufrVoPGSRksC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Integrating qualitative and quantitative approaches in program evaluation,"V Rao, M Woolcock",The impact of economic policies on poverty and income distribution …,,262,2003,14818330778231823215,IjCSPb-OGe4C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Participatory democracy in action: Survey evidence from South India,"T Besley, R Pande, V Rao",Journal of the European Economic Association,"3 (2-3), 648-657",261,2005,"16481439930622158008,8757663685306427225",YsMSGLbcyi4C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Governance in the gullies: democratic responsiveness and leadership in Delhi’s slums,"S Jha, V Rao, M Woolcock",World development,"35 (2), 230-246",247,2007,6613967530627937854,hqOjcs7Dif8C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Using mixed methods in monitoring and evaluation: experiences from international development,"M Bamberger, V Rao, M Woolcock",World Bank Policy Research Working Paper,,238,2010,"3125543508048826911,12203237580619459388,6903737517931994934",ZeXyd9-uunAC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,"Relationality, Equality of Agency, and Development","V Rao, M Walton",Culture and public action,"3, 36",202,2004,"1583715861044703948,5621351657461506389",5bFWG3eDk9wC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Tokenism or agency? The impact of women’s reservations on village democracies in South India,"R Ban, V Rao",Economic Development and Cultural Change,"56 (3), 501-530",176,2008,"376312367293405696,12128002605291332911,10803406351853766481",0EnyYjriUFMC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Dowry ‘inflation’in rural India: A statistical investigation,V Rao,Population Studies,"47 (2), 283-293",155,1993,11936951159255327254,Y0pCki6q_DkC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,How and why does history matter for development policy?,"M Woolcock, S Szreter, V Rao",The Journal of Development Studies,"47 (1), 70-96",146,2011,"16332919615068686406,5745066189703014888",Wp0gIr-vW9MC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Dignity through discourse: Poverty and the culture of deliberation in Indian village democracies,"V Rao, P Sanyal",The Annals of the American Academy of Political and Social Science,629 (1 …,128,2010,"15979615120920812787,4008710107804557399,13729447406712201435",4DMP91E08xMC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Can participation be induced? Some evidence from developing countries,"G Mansuri, V Rao",Critical Review of International Social and Political Philosophy,"16 (2), 284-304",99,2013,"8601085532211994236,1679070358614238578,3224615435996388031",fQNAKQ3IYiAC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Political economy of panchayats in South India,"T Besley, R Pande, V Rao",Economic and Political Weekly,661-666,96,2007,"2135447250565090481,4479238751482566501",YOwf2qJgpHMC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Who has voice in a deliberative democracy? Evidence from transcripts of village parliaments in south India,"R Ban, S Jha, V Rao",Journal of Development Economics,"99 (2), 428-438",94,2012,"17938254059548954099,14357055919372112912,16599954880654003767",geHnlv5EZngC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,The demand for bride characteristics and dowry in marriage: empirical estimates for rural South-Central India,"A Deolalikar, V Rao",Discussion Paper,"90-22, Dept. of Economics, University of Washington",94,1990,"7222077842945001695,15133276719103955169,11158195812018332900,8983890008637477787",vDZJ-YLwNdEC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Poverty and public celebrations in rural India,V Rao,The Annals of the American Academy of Political and Social Science,573 (1 …,93,2001,16824350917403388136,Se3iqnhoufwC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,"Qualitative and quantitative poverty appraisal: Complementarities, tensions and the way forward","R Chambers, P Petesch, N Uphoff, M Ravallion, F Bourguignon, DE Sahn, ...",,,88,2001,12889610832760745536,5Ul4iDaHHb8C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Price heterogeneity and “real” inequality: a case study of prices and poverty in rural South India,V Rao,Review of Income and Wealth,"46 (2), 201-211",88,2000,"14334228529530647455,5321762118017635630",UebtZRa9Y70C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,The disciplinary monopoly in development research at the World Bank,"V Rao, M Woolcock",Global Governance,"13, 479",86,2007,"11559195628724992382,1291604316749993356",_kc_bZDykSQC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Update note on community-based and-driven development,"G Mansuri, V Rao","World Bank, Washington DC",,83,2007,"11149322011595205281,12335424776159114587",hFOr9nPyWt4C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Deliberation and development: rethinking the role of voice and collective action in unequal societies,"P Heller, V Rao",World Bank Publications,,76,2015,7953310487581976295,kuq-04jA658C
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,On “Inequality Traps” and Development Policy,V Rao,"World Bank, Washington, DC",,64,2006,9443557250085501473,VOx2b1Wkg3QC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,The marriage squeeze and the rise in informal marriage in Brazil,"ME Greene, V Rao",Social Biology,"42 (1-2), 65-82",63,1995,13879464072152392785,8k81kl-MbHgC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,Symbolic Public Goods and the Coordination of Collective Action: A Comparison of Local Development in India and Indonesia,V Rao,Chapter,"10,  The Contested Commons: Conversations between Economists and …",62,2008,13047058724489610364,6jAoOr-ogVAC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,"Wife-abuse its causes and its impact on intra-household resource allocation in rural Karnataka: a"" participatory"" econometric analysis.",V Rao,Delhi India Oxford University Press,1998.,62,1998,"13721175906084615989,16171364187694172767",KUbvn5osdkgC
Poverty and Inequality,Vijayendra Rao,ImtSzeYAAAAJ,The regulation of land markets: Evidence from tenancy reform in india,"TJ Besley, J Leight, R Pande, V Rao",,,55,2016,"2464759162839600287,2906275545547521082,13980049787910044419",l7t_Zn2s7bgC
